task_index,episode_index,task,length_frames,duration_seconds
0,0,turning_on_radio,1956,65.2
0,1,turning_on_radio,2340,78.0
0,2,turning_on_radio,2107,70.23333333333333
0,3,turning_on_radio,1875,62.5
0,4,turning_on_radio,1547,51.56666666666667
0,5,turning_on_radio,3227,107.56666666666666
0,6,turning_on_radio,2304,76.8
0,7,turning_on_radio,2585,86.16666666666667
0,8,turning_on_radio,2427,80.9
0,9,turning_on_radio,2277,75.9
0,10,turning_on_radio,2769,92.3
0,11,turning_on_radio,2288,76.26666666666667
0,12,turning_on_radio,1991,66.36666666666666
0,13,turning_on_radio,2604,86.8
0,14,turning_on_radio,2375,79.16666666666667
0,15,turning_on_radio,1861,62.03333333333333
0,16,turning_on_radio,2217,73.9
0,17,turning_on_radio,2399,79.96666666666667
0,18,turning_on_radio,1986,66.2
0,19,turning_on_radio,2565,85.5
0,20,turning_on_radio,1943,64.76666666666667
0,21,turning_on_radio,2048,68.26666666666667
0,22,turning_on_radio,2577,85.9
0,23,turning_on_radio,2175,72.5
0,24,turning_on_radio,1829,60.96666666666667
0,25,turning_on_radio,2176,72.53333333333333
0,26,turning_on_radio,1886,62.86666666666667
0,27,turning_on_radio,1951,65.03333333333333
0,28,turning_on_radio,2834,94.46666666666667
0,29,turning_on_radio,2923,97.43333333333334
0,30,turning_on_radio,2263,75.43333333333334
0,31,turning_on_radio,1650,55.0
0,32,turning_on_radio,2168,72.26666666666667
0,33,turning_on_radio,2751,91.7
0,34,turning_on_radio,1656,55.2
0,35,turning_on_radio,1770,59.0
0,36,turning_on_radio,2545,84.83333333333333
0,37,turning_on_radio,2236,74.53333333333333
0,38,turning_on_radio,2032,67.73333333333333
0,39,turning_on_radio,2287,76.23333333333333
0,40,turning_on_radio,2274,75.8
0,41,turning_on_radio,2218,73.93333333333334
0,42,turning_on_radio,1646,54.86666666666667
0,43,turning_on_radio,2655,88.5
0,44,turning_on_radio,2572,85.73333333333333
0,45,turning_on_radio,2289,76.3
0,46,turning_on_radio,2654,88.46666666666667
0,47,turning_on_radio,2037,67.9
0,48,turning_on_radio,2461,82.03333333333333
0,49,turning_on_radio,2632,87.73333333333333
0,50,turning_on_radio,1850,61.666666666666664
0,51,turning_on_radio,2305,76.83333333333333
0,52,turning_on_radio,2377,79.23333333333333
0,53,turning_on_radio,2566,85.53333333333333
0,54,turning_on_radio,2631,87.7
0,55,turning_on_radio,1930,64.33333333333333
0,56,turning_on_radio,1722,57.4
0,57,turning_on_radio,2826,94.2
0,58,turning_on_radio,2284,76.13333333333334
0,59,turning_on_radio,2263,75.43333333333334
0,60,turning_on_radio,1920,64.0
0,61,turning_on_radio,2431,81.03333333333333
0,62,turning_on_radio,2003,66.76666666666667
0,63,turning_on_radio,2114,70.46666666666667
0,64,turning_on_radio,2129,70.96666666666667
0,65,turning_on_radio,2079,69.3
0,66,turning_on_radio,2459,81.96666666666667
0,67,turning_on_radio,2099,69.96666666666667
0,68,turning_on_radio,2506,83.53333333333333
0,69,turning_on_radio,2180,72.66666666666667
0,70,turning_on_radio,2530,84.33333333333333
0,71,turning_on_radio,2517,83.9
0,72,turning_on_radio,2763,92.1
0,73,turning_on_radio,2339,77.96666666666667
0,74,turning_on_radio,2171,72.36666666666666
0,75,turning_on_radio,2567,85.56666666666666
0,76,turning_on_radio,2144,71.46666666666667
0,77,turning_on_radio,2837,94.56666666666666
0,78,turning_on_radio,2199,73.3
0,79,turning_on_radio,1993,66.43333333333334
0,80,turning_on_radio,2085,69.5
0,81,turning_on_radio,2643,88.1
0,82,turning_on_radio,2730,91.0
0,83,turning_on_radio,2432,81.06666666666666
0,84,turning_on_radio,2160,72.0
0,85,turning_on_radio,2663,88.76666666666667
0,86,turning_on_radio,2223,74.1
0,87,turning_on_radio,3260,108.66666666666667
0,88,turning_on_radio,2636,87.86666666666666
0,89,turning_on_radio,2316,77.2
0,90,turning_on_radio,2393,79.76666666666667
0,91,turning_on_radio,2413,80.43333333333334
0,92,turning_on_radio,2517,83.9
0,93,turning_on_radio,1910,63.666666666666664
0,94,turning_on_radio,2900,96.66666666666667
0,95,turning_on_radio,4340,144.66666666666666
0,96,turning_on_radio,2870,95.66666666666667
0,97,turning_on_radio,3502,116.73333333333333
0,98,turning_on_radio,2035,67.83333333333333
0,99,turning_on_radio,1955,65.16666666666667
0,100,turning_on_radio,3688,122.93333333333334
0,101,turning_on_radio,3150,105.0
0,102,turning_on_radio,3719,123.96666666666667
0,103,turning_on_radio,2061,68.7
0,104,turning_on_radio,1606,53.53333333333333
0,105,turning_on_radio,2413,80.43333333333334
0,106,turning_on_radio,3305,110.16666666666667
0,107,turning_on_radio,1869,62.3
0,108,turning_on_radio,2028,67.6
0,109,turning_on_radio,2403,80.1
0,110,turning_on_radio,1343,44.766666666666666
0,111,turning_on_radio,2675,89.16666666666667
0,112,turning_on_radio,1217,40.56666666666667
0,113,turning_on_radio,1777,59.233333333333334
0,114,turning_on_radio,3666,122.2
0,115,turning_on_radio,1767,58.9
0,116,turning_on_radio,1724,57.46666666666667
0,117,turning_on_radio,1625,54.166666666666664
0,118,turning_on_radio,2338,77.93333333333334
0,119,turning_on_radio,2453,81.76666666666667
0,120,turning_on_radio,1621,54.03333333333333
0,121,turning_on_radio,1637,54.56666666666667
0,122,turning_on_radio,1727,57.56666666666667
0,123,turning_on_radio,1354,45.13333333333333
0,124,turning_on_radio,1655,55.166666666666664
0,125,turning_on_radio,2316,77.2
0,126,turning_on_radio,1161,38.7
0,127,turning_on_radio,1123,37.43333333333333
0,128,turning_on_radio,2112,70.4
0,129,turning_on_radio,1597,53.233333333333334
0,130,turning_on_radio,1478,49.266666666666666
0,131,turning_on_radio,2029,67.63333333333334
0,132,turning_on_radio,970,32.333333333333336
0,133,turning_on_radio,2246,74.86666666666666
0,134,turning_on_radio,1489,49.63333333333333
0,135,turning_on_radio,1535,51.166666666666664
0,136,turning_on_radio,1679,55.96666666666667
0,137,turning_on_radio,1445,48.166666666666664
0,138,turning_on_radio,1586,52.86666666666667
0,139,turning_on_radio,1266,42.2
0,140,turning_on_radio,2055,68.5
0,141,turning_on_radio,1363,45.43333333333333
0,142,turning_on_radio,1790,59.666666666666664
0,143,turning_on_radio,1498,49.93333333333333
0,144,turning_on_radio,1485,49.5
0,145,turning_on_radio,2029,67.63333333333334
0,146,turning_on_radio,1238,41.266666666666666
0,147,turning_on_radio,1221,40.7
0,148,turning_on_radio,1561,52.03333333333333
0,149,turning_on_radio,1639,54.63333333333333
0,150,turning_on_radio,2049,68.3
0,151,turning_on_radio,1023,34.1
0,152,turning_on_radio,1711,57.03333333333333
0,153,turning_on_radio,1367,45.56666666666667
0,154,turning_on_radio,1266,42.2
0,155,turning_on_radio,2035,67.83333333333333
0,156,turning_on_radio,2918,97.26666666666667
0,157,turning_on_radio,3895,129.83333333333334
0,158,turning_on_radio,2768,92.26666666666667
0,159,turning_on_radio,3591,119.7
0,160,turning_on_radio,3315,110.5
0,161,turning_on_radio,2760,92.0
0,162,turning_on_radio,2617,87.23333333333333
0,163,turning_on_radio,2764,92.13333333333334
0,164,turning_on_radio,4353,145.1
0,165,turning_on_radio,2580,86.0
0,166,turning_on_radio,3334,111.13333333333334
