path,filename,size_bytes,duration_seconds,duration_basis
/EgoLifeThird/DAY1/Level1/day1_level1_10000000.mp4,day1_level1_10000000.mp4,3567023746,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level1/day1_level1_11000000.mp4,day1_level1_11000000.mp4,10944627213,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level1/day1_level1_12000000.mp4,day1_level1_12000000.mp4,10944557294,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level1/day1_level1_13000000.mp4,day1_level1_13000000.mp4,10944611949,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level1/day1_level1_14000000.mp4,day1_level1_14000000.mp4,7057952289,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level2/day1_level2_10000000.mp4,day1_level2_10000000.mp4,10944631651,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level2/day1_level2_11000000.mp4,day1_level2_11000000.mp4,10944829890,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level2/day1_level2_12000000.mp4,day1_level2_12000000.mp4,10944814307,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level2/day1_level2_13000000.mp4,day1_level2_13000000.mp4,10945065145,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY1/Level2/day1_level2_14000000.mp4,day1_level2_14000000.mp4,7251998325,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_10000000.mp4,day2_level1_10000000.mp4,8504418666,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_11000000.mp4,day2_level1_11000000.mp4,10944429141,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_12000000.mp4,day2_level1_12000000.mp4,2831537606,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_15000000.mp4,day2_level1_15000000.mp4,10944435100,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_16000000.mp4,day2_level1_16000000.mp4,10944697002,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_17000000.mp4,day2_level1_17000000.mp4,10944503101,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_18000000.mp4,day2_level1_18000000.mp4,10944402042,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_19000000.mp4,day2_level1_19000000.mp4,10944408474,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_20000000.mp4,day2_level1_20000000.mp4,10944466364,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_21000000.mp4,day2_level1_21000000.mp4,10944603430,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_22000000.mp4,day2_level1_22000000.mp4,10944283878,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level1/day2_level1_23000000.mp4,day2_level1_23000000.mp4,1919326551,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_15000000.mp4,day2_level2_15000000.mp4,10944642919,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_16000000.mp4,day2_level2_16000000.mp4,10945394690,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_17000000.mp4,day2_level2_17000000.mp4,10944955101,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_18000000.mp4,day2_level2_18000000.mp4,10944361211,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_19000000.mp4,day2_level2_19000000.mp4,10944451045,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_20000000.mp4,day2_level2_20000000.mp4,10944706130,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_21000000.mp4,day2_level2_21000000.mp4,10944803717,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_22000000.mp4,day2_level2_22000000.mp4,10944218767,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY2/Level2/day2_level2_23000000.mp4,day2_level2_23000000.mp4,1869252572,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY3/Level1/day3_level1_10000000.mp4,day3_level1_10000000.mp4,1387175572,,directory_listing_only_no_media_probe
/EgoLifeThird/DAY3/Level1/day3_level1_11000000.mp4,day3_level1_11000000.mp4,10945253441,,directory_listing_only_no_media_probe
