path,participant,day,nominal_duration_seconds,duration_basis,url
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11094208.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11094208.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11100000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11100000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11103000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11103000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11110000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11110000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11113000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11113000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11120000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11120000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11123000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11123000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11130000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11130000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11133000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11133000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11140000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11140000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11143000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11143000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11150000.mp4,A1_JAKE,DAY1,30,nominal_unprobed,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_11150000.mp4
