path,participant,day,start_time_code,size_bytes,nominal_duration_seconds,duration_basis,url,duration_seconds,fps,width,height
A1_JAKE/DAY1/DAY1_A1_JAKE_11094208.mp4,A1_JAKE,DAY1,11094208,6663507,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11094208.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11100000.mp4,A1_JAKE,DAY1,11100000,14379440,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11100000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11103000.mp4,A1_JAKE,DAY1,11103000,14141028,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11103000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11110000.mp4,A1_JAKE,DAY1,11110000,14942640,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11110000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11113000.mp4,A1_JAKE,DAY1,11113000,14792981,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11113000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11120000.mp4,A1_JAKE,DAY1,11120000,16104680,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11120000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11123000.mp4,A1_JAKE,DAY1,11123000,15826089,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11123000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11130000.mp4,A1_JAKE,DAY1,11130000,15523222,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11130000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11133000.mp4,A1_JAKE,DAY1,11133000,14953554,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11133000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11140000.mp4,A1_JAKE,DAY1,11140000,13771155,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11140000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11143000.mp4,A1_JAKE,DAY1,11143000,14271991,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11143000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11150000.mp4,A1_JAKE,DAY1,11150000,14397393,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11150000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,A1_JAKE,DAY1,11153000,14081080,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11153000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11160000.mp4,A1_JAKE,DAY1,11160000,13736481,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11160000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11163000.mp4,A1_JAKE,DAY1,11163000,15024092,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11163000.mp4,,,,
A1_JAKE/DAY1/DAY1_A1_JAKE_11170000.mp4,A1_JAKE,DAY1,11170000,12115042,30,nominal_30s_segmentation_not_individually_probed,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11170000.mp4,,,,
