path,scene,size_bytes,duration_seconds,duration_method,width,height,fps,source_url
videos/robot/bedroom_01.mp4,bedroom,1984242359,2163.2,MP4 container via HTTP Range,1578,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_01.mp4
videos/robot/bedroom_02.mp4,bedroom,2280989047,2054.633333333333,MP4 container via HTTP Range,1280,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_02.mp4
videos/robot/bedroom_03.mp4,bedroom,2051699055,2234.5666666666666,MP4 container via HTTP Range,1280,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_03.mp4
videos/robot/bedroom_04.mp4,bedroom,1508303162,1650.6333333333334,MP4 container via HTTP Range,1280,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_04.mp4
videos/robot/bedroom_05.mp4,bedroom,1650949285,1800.1,MP4 container via HTTP Range,1580,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_05.mp4
videos/robot/bedroom_06.mp4,bedroom,1793382177,1952.6,MP4 container via HTTP Range,1580,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_06.mp4
videos/robot/bedroom_07.mp4,bedroom,1706439696,1861.0,MP4 container via HTTP Range,1578,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_07.mp4
videos/robot/bedroom_08.mp4,bedroom,2254774868,2455.9666666666667,MP4 container via HTTP Range,1280,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_08.mp4
videos/robot/bedroom_09.mp4,bedroom,2255901861,2031.6,MP4 container via HTTP Range,1280,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_09.mp4
videos/robot/bedroom_10.mp4,bedroom,2125436020,1915.1333333333334,MP4 container via HTTP Range,1280,720,30.0,https://huggingface.co/datasets/ByteDance-Seed/M3-Bench/resolve/2672152eee36b25ccb38fdbc3b72135347adbb63/videos/robot/bedroom_10.mp4
