video_id,youtube_url,duration
P01-20240202-110250,https://youtu.be/YZo1sqXp5U0,396.266667
P01-20240202-161354,https://youtu.be/iJpqrt4Uefc,327.6
P01-20240202-161948,https://youtu.be/I3ldXPd_d2g,769.6
P01-20240202-171220,https://youtu.be/Q_h1jmcIBAw,513.0
P01-20240202-175627,https://youtu.be/Epjp1Isub4Q,201.733333
P01-20240202-195538,https://youtu.be/1faxLHsp5ZI,537.433333
P01-20240203-093333,https://youtu.be/Do_CbEBOFro,173.333333
P01-20240203-121517,https://youtu.be/ozyqTW4FLFQ,473.133333
P01-20240203-123350,https://youtu.be/x4STmay8sKI,1753.833333
P01-20240203-130505,https://youtu.be/HdDyqiLzT6g,828.7
P01-20240203-132119,https://youtu.be/PenWS6LTzDU,1125.133333
P01-20240203-135502,https://youtu.be/xR7ypKh8GUg,2520.0
P01-20240203-150506,https://youtu.be/pgKE1TA8yKM,708.7
P01-20240203-152323,https://youtu.be/_iElNa-jFDE,139.966667
P01-20240203-152956,https://youtu.be/kRWcAuVKtqc,176.2
P01-20240203-161757,https://youtu.be/wC7ZmDtzrl4,241.433333
P01-20240203-184045,https://youtu.be/5nW8ksVP5yE,52.833333
P01-20240203-184214,https://youtu.be/VFn2ir7RtAw,1328.7
P01-20240204-095114,https://youtu.be/rSLV5Qx9l9s,165.533333
P01-20240204-120411,https://youtu.be/ora_fTZr00A,234.8
P01-20240204-121042,https://youtu.be/7JqcpAM4EXU,1525.9
P01-20240204-124504,https://youtu.be/1PDw8lZvUpY,88.633333
P01-20240204-130448,https://youtu.be/06EGRDGFB64,509.233333
P01-20240204-142301,https://youtu.be/09xxxPUCdUc,1859.7
P01-20240204-145458,https://youtu.be/dVGiDRrddg4,1088.533333
P01-20240204-152537,https://youtu.be/0wakJgxehI4,445.8
P01-20240204-160230,https://youtu.be/qtPElCGYMHo,132.766667
P02-20240209-184316,https://youtu.be/ClT-r2qMfDQ,1787.966667
P02-20240209-194141,https://youtu.be/QLMFiW0bm1Q,924.466667
P02-20240209-231412,https://youtu.be/UYaRHCakTsU,32.3
P02-20240210-092616,https://youtu.be/DExH8Rq-bsk,45.8
P02-20240210-100308,https://youtu.be/8CgNOtu6rPA,215.0
P02-20240210-100930,https://youtu.be/aAbljb1FnWY,9.7
P02-20240210-113925,https://youtu.be/DuFatpo2zck,815.033333
P02-20240210-122334,https://youtu.be/d6cer_Y681U,539.166667
P02-20240210-195833,https://youtu.be/TS3XE9sALg8,225.333333
P02-20240210-220650,https://youtu.be/EMGDuShuAaw,47.633333
P02-20240211-100250,https://youtu.be/jlYpItmfW3k,349.766667
P02-20240211-104948,https://youtu.be/RJK891ZzCIk,321.566667
P02-20240211-111219,https://youtu.be/zWO833eWfag,270.866667
P02-20240211-111822,https://youtu.be/UsXtkADcLW4,2268.1
P02-20240211-115653,https://youtu.be/leeb_8o8mhk,648.833333
P02-20240211-120927,https://youtu.be/bwDkI2vZ1Ow,3116.133333
P02-20240211-141313,https://youtu.be/-nTu0lrK7lg,1511.366667
P02-20240211-175138,https://youtu.be/MfVeyV6KHxM,1935.833333
P02-20240211-182630,https://youtu.be/cP3Ze_zk4jo,1417.733333
P03-20240216-084005,https://youtu.be/3VDExSVPRAM,1064.2
P03-20240216-090759,https://youtu.be/xwD05cqaNI8,497.733333
P03-20240216-185832,https://youtu.be/oF0kZUetsIc,4485.133333
P03-20240216-205923,https://youtu.be/ksIwSq7DgNk,1462.966667
P03-20240216-223126,https://youtu.be/MgEbPOsjl44,153.8
P03-20240217-091657,https://youtu.be/Wvm4Iti3HFg,944.966667
P03-20240217-094713,https://youtu.be/uIFJOM3to-c,161.466667
P03-20240217-100448,https://youtu.be/IGngQdnA7VM,305.566667
P03-20240217-130208,https://youtu.be/OxlVOKg9L10,129.066667
P03-20240217-131219,https://youtu.be/MtANW-VHeLc,3279.233333
P03-20240217-150310,https://youtu.be/NOsHm-8Kfe4,910.6
P03-20240217-152152,https://youtu.be/9EVtt2kjg-Y,152.433333
P03-20240217-192543,https://youtu.be/dPv24tndzU4,3379.166667
P03-20240217-210126,https://youtu.be/_Oc6EP5-580,185.1
P03-20240217-210958,https://youtu.be/b6D-Jx7FSBI,1238.9
